,FirstName,LastName,College,Position,Age,Height,Weight,OverallRating,TraitDevelopment,ContractStatus,Motivation3,Motivation2,Motivation1,OriginalHitPowerRating,OriginalJumpingRating,AgilityRating,AccelerationRating,OriginalKickAccuracyRating,OriginalKickPowerRating,BreakSackRating,BlockSheddingRating,BCVisionRating,AwarenessRating,CatchInTrafficRating,CatchingRating,CarryingRating,BreakTackleRating,DeepRouteRunningRating,ConfidenceRating,ChangeOfDirectionRating,ImpactBlockingRating,HitPowerRating,Height,FinesseMovesRating,JukeMoveRating,InjuryRating,KickReturnRating,KickPowerRating,KickAccuracyRating,JumpingRating,MediumRouteRunningRating,ManCoverageRating,LongSnapRating,LeadBlockRating,PressRating,PowerMovesRating,RunBlockPowerRating,RunBlockFinesseRating,ReleaseRating,PursuitRating,SpeedRating,SpectacularCatchRating,ShortRouteRunningRating,RunBlockRating,StrengthRating,StiffArmRating,StaminaRating,SpinMoveRating,ThrowAccuracyRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,TackleRating,ThrowUnderPressureRating,ThrowPowerRating,ThrowOnTheRunRating,ThrowAccuracyShortRating,ZoneCoverageRating,TruckingRating,ToughnessRating,PlayActionRating,PassBlockFinesseRating,PassBlockPowerRating,PassBlockRating,Player,IsVisible,ProDayThreeConeDrill,ProDayTwentyYardShuttle,ProDayVerticalJump,CombineTwentyYardShuttle,CombineVerticalJump,ProDayFortyYardDash,CombineFortyYardDash,CombineOverallGrade,CombineThreeConeDrill,ProDayBroadJump,InitialDraftRank,TrueOverallRanking,CombineBenchPress,ProDayBenchPress,ProductionGrade,CombineBroadJump
424,James,Landry,UCF,TE,23,75,260,74,Superstar,Draft,TeamPrestige,WarmWeatherState,BigMarket,37,81,84,89,25,30,31,30,79,73,77,80,76,68,62,53,79,59,37,75,37,69,83,39,30,25,81,68,48,0,53,29,31,65,60,67,47,84,80,69,62,67,64,97,72,14,31,19,26,25,36,33,17,46,68,81,41,60,60,64,3144,TRUE,0,0,0,0,0,0,0,0,0,0,20,32,0,0,94,0
378,Collin,Ringer,Oklahoma,RG,22,76,343,73,Star,Draft,TeamPrestige,MentoratPosition,NoIncomeTax,39,65,65,79,27,45,42,32,27,67,45,30,58,38,26,50,54,84,39,76,41,35,80,41,45,27,65,24,27,0,87,25,33,78,66,39,37,68,31,46,76,90,32,90,44,18,27,19,38,41,16,33,19,34,34,81,47,64,74,76,2745,TRUE,0,0,0,0,0,0,0,0,0,0,21,55,0,0,84,0
48,David,Edmonds,Auburn,RE,22,75,296,75,Star,Draft,ChampionshipContender,HighestOffer,SchemeFit,85,66,72,86,46,46,26,81,38,70,30,25,55,43,36,55,66,85,85,75,63,43,95,27,46,46,66,28,43,0,28,26,71,48,31,45,80,78,48,30,47,91,47,73,36,28,25,31,81,44,13,31,28,38,48,84,26,39,40,32,361,TRUE,0,0,0,0,0,0,0,0,0,0,22,14,0,0,83,0
251,Tim,Banks,Stanford,CB,22,69,192,75,Star,Draft,ChampionshipContender,TeamPrestige,SchemeFit,65,89,86,95,31,37,26,48,58,74,43,63,63,47,38,45,92,51,65,69,48,81,80,73,37,31,89,43,66,0,48,66,41,44,25,43,75,94,29,38,32,75,25,87,75,15,30,25,58,44,30,37,17,77,31,79,24,48,36,41,1795,TRUE,0,0,0,0,0,0,0,0,0,0,23,15,0,0,87,0
412,Harvey,Ware,USC,MLB,23,76,255,74,Star,Draft,TeamHasFranchiseQB,HighestOffer,CloseToHome,80,81,80,88,34,46,46,76,37,72,40,66,50,39,27,53,68,85,80,76,62,36,95,48,46,34,81,30,58,0,25,24,65,41,27,40,83,84,25,47,37,79,38,89,39,23,27,25,84,35,14,19,23,62,25,84,45,47,29,47,3046,TRUE,0,0,0,0,0,0,0,0,0,0,24,29,0,0,90,0
245,Jose,Burgess,Alabama,LE,23,76,289,73,Star,Draft,MentoratPosition,SchemeFit,TeamPrestige,83,68,74,84,45,33,38,75,26,68,37,24,54,38,34,40,67,78,83,76,61,38,98,36,33,45,68,38,29,0,27,46,67,31,34,50,78,74,24,28,37,93,46,74,41,11,29,29,82,44,25,37,32,38,45,81,27,40,40,36,1759,TRUE,0,0,0,0,0,0,0,0,0,0,25,59,0,0,80,0
130,Jameel,Cooper,Oklahoma,RT,22,76,308,73,Star,Draft,TeamHasFranchiseQB,CloseToHome,HighestOffer,33,79,71,86,37,30,39,37,29,76,27,39,59,48,33,59,60,88,33,76,25,27,93,45,30,37,79,26,39,0,87,43,38,69,80,42,24,77,24,28,72,85,24,97,33,10,16,29,29,35,31,14,37,28,26,86,47,76,70,76,924,TRUE,0,0,0,0,0,0,0,0,0,0,26,58,0,0,86,0
428,Taylor,Griffey,Penn State,WR,21,73,187,73,XFactor,Draft,WarmWeatherState,HighestOffer,HeadCoachHistoricRecord,34,85,93,92,25,27,35,42,73,69,79,76,78,66,75,42,91,37,34,73,35,83,84,90,27,25,85,66,30,0,36,25,28,33,33,74,29,98,84,69,50,58,46,78,83,13,16,26,30,32,29,23,14,30,57,84,37,46,37,27,3154,TRUE,0,0,0,0,0,0,0,0,0,0,27,60,0,0,89,0
340,Aaron,Stapleton,Miami,CB,21,69,190,76,Star,Draft,HeadCoachHistoricRecord,ChampionshipContender,NoIncomeTax,64,86,91,94,40,24,36,58,67,75,44,63,58,26,48,45,88,52,64,69,25,73,89,65,24,40,86,39,72,0,28,74,42,24,40,49,72,92,32,36,35,65,30,80,70,23,20,37,67,42,32,26,22,74,43,80,24,35,38,30,2448,TRUE,0,0,0,0,0,0,0,0,0,0,28,7,0,0,82,0
429,Tyler,Fleming,Washington State,FS,22,69,213,74,Star,Draft,CloseToHome,WarmWeatherState,TeamPrestige,82,85,89,90,38,35,40,50,64,73,28,68,73,25,38,44,87,59,82,69,38,59,97,63,35,38,85,25,72,0,37,75,30,33,43,46,75,90,48,34,48,66,49,94,72,11,27,20,67,35,30,37,35,75,36,80,33,31,26,34,3166,TRUE,0,0,0,0,0,0,0,0,0,0,29,26,0,0,81,0
262,Telvin,Bush,Ohio,CB,22,75,192,73,Star,Draft,BigMarket,TeamHasFranchiseQB,SchemeFit,66,82,86,93,41,33,44,51,67,72,43,64,59,32,33,48,87,46,66,75,47,77,80,67,33,41,82,44,64,0,31,71,33,30,39,43,76,93,45,31,30,67,44,84,77,13,12,35,59,47,35,18,31,76,48,82,29,31,30,45,1856,TRUE,0,0,0,0,0,0,0,0,0,0,30,56,0,0,87,0
192,Eric,Huston,USC,TE,22,78,241,71,Star,Draft,TeamHasFranchiseQB,WarmWeatherState,CloseToHome,45,84,83,87,38,38,33,41,70,76,74,80,79,61,61,41,82,62,45,78,42,74,90,36,38,38,84,68,33,0,58,30,35,50,58,62,43,84,76,71,57,70,69,94,62,23,25,20,34,46,36,20,22,39,60,81,36,64,54,59,1345,TRUE,0,0,0,0,0,0,0,0,0,0,31,89,0,0,84,0
318,Carlos,Telfer,Notre Dame,RE,22,76,267,71,Normal,Draft,TeamPrestige,HeadCoachHistoricRecord,SchemeFit,77,82,72,84,30,29,30,68,45,68,26,32,51,43,35,57,65,73,77,76,58,33,85,30,29,30,82,29,45,0,42,29,74,27,42,42,78,78,37,35,36,86,25,80,47,18,25,36,81,42,25,15,24,42,42,86,43,38,44,37,2313,TRUE,0,0,0,0,0,0,0,0,0,0,32,87,0,0,89,0
123,Ben,Carmon,Auburn,HB,22,68,188,76,XFactor,Draft,HeadCoachHistoricRecord,TeamPrestige,MentoratPosition,30,77,91,95,31,25,40,43,76,72,68,76,76,74,62,40,91,44,30,68,25,83,81,79,25,31,77,58,38,0,25,47,39,44,24,75,34,94,71,73,33,74,71,78,80,19,18,18,31,48,30,17,17,25,77,81,36,35,35,62,885,TRUE,0,0,0,0,0,0,0,0,0,0,33,6,0,0,90,0
367,Marquise,McCloud,USF,LT,22,76,318,75,Normal,Draft,SchemeFit,HeadCoachHistoricRecord,TeamPrestige,47,74,74,71,25,30,36,37,34,77,41,32,55,47,39,44,57,81,47,76,41,44,97,29,30,25,74,36,43,0,78,37,38,65,64,47,47,63,38,43,74,85,38,92,33,20,37,13,26,31,10,12,33,45,47,82,46,82,81,78,2667,TRUE,0,0,0,0,0,0,0,0,0,0,34,13,0,0,80,0
160,Eddie,Young,Cincinnati,HB,23,68,201,74,Normal,Draft,MentoratPosition,HighestOffer,CloseToHome,28,82,89,95,26,28,25,40,76,73,68,75,80,74,61,44,88,45,28,68,36,83,88,79,28,26,82,61,35,0,45,31,44,43,47,68,39,94,75,71,31,76,68,98,77,27,12,29,38,30,11,28,37,40,72,86,44,30,27,60,1122,TRUE,0,0,0,0,0,0,0,0,0,0,35,24,0,0,86,0
331,Carlos,Coates,Iowa,DT,22,74,316,74,Normal,Draft,CloseToHome,NoIncomeTax,HeadCoachHistoricRecord,76,71,71,81,38,25,38,73,33,73,48,35,54,48,32,58,55,85,76,74,65,26,93,47,25,38,71,47,34,0,34,39,70,41,25,45,80,70,41,39,34,89,38,73,33,28,26,27,82,43,25,11,19,29,33,79,37,26,40,33,2360,TRUE,0,0,0,0,0,0,0,0,0,0,36,23,0,0,90,0
97,K.C.,Stewart,TCU,HB,21,72,208,74,Star,Draft,TeamHasFranchiseQB,MentoratPosition,HeadCoachHistoricRecord,43,80,88,92,41,31,35,39,81,71,61,69,82,77,38,52,92,34,43,72,38,79,78,84,31,41,80,56,46,0,28,37,32,34,48,55,46,90,53,58,47,64,69,88,81,20,32,24,27,24,31,10,11,30,78,79,43,37,32,63,733,TRUE,0,0,0,0,0,0,0,0,0,0,37,22,0,0,90,0
221,Tyren,Winthrop,Notre Dame,LT,22,76,319,73,Star,Draft,SchemeFit,TeamHasFranchiseQB,CloseToHome,24,78,70,85,32,43,25,41,29,78,28,38,54,24,44,45,54,80,24,76,36,48,91,37,43,32,78,35,47,0,88,27,38,68,79,47,45,67,33,29,75,88,45,98,33,27,17,33,29,46,36,15,24,25,29,80,32,77,64,73,1532,TRUE,0,0,0,0,0,0,0,0,0,0,38,53,0,0,86,0
357,Brian,O'Neill,Ohio State,ROLB,22,72,248,73,Normal,Draft,NoIncomeTax,MentoratPosition,HeadCoachHistoricRecord,77,78,77,90,42,47,30,72,42,73,44,52,50,45,34,47,72,76,77,72,56,35,89,37,47,42,78,27,54,0,28,24,57,41,44,39,77,84,46,31,24,78,31,82,36,30,17,10,86,37,12,14,13,63,27,83,45,48,38,42,2601,TRUE,0,0,0,0,0,0,0,0,0,0,39,57,0,0,87,0
354,Kenny,Aldridge,Clemson,TE,22,74,258,74,Star,Draft,CloseToHome,WarmWeatherState,TeamPrestige,38,80,82,90,33,31,40,43,74,73,77,84,72,67,64,48,79,59,38,74,45,68,86,31,31,33,80,69,33,0,60,30,24,51,59,61,30,84,80,67,67,73,65,80,71,33,23,17,43,34,21,14,15,40,63,81,41,57,60,65,2566,TRUE,0,0,0,0,0,0,0,0,0,0,40,20,0,0,80,0
231,Cole,Dickerson,Arkansas,CB,23,76,207,76,Star,Draft,BigMarket,WarmWeatherState,TeamHasFranchiseQB,65,93,89,91,40,45,39,52,68,74,25,61,66,35,24,49,94,45,65,76,24,79,82,77,45,40,93,25,76,0,31,72,40,45,31,43,75,93,45,44,46,59,44,84,78,26,37,36,59,48,38,17,34,71,26,81,28,32,32,34,1608,TRUE,0,0,0,0,0,0,0,0,0,0,41,3,0,0,83,0
334,Clifton,Yancy,Georgia,CB,21,70,201,76,Star,Draft,NoIncomeTax,TeamHasFranchiseQB,ChampionshipContender,76,86,86,92,35,46,24,60,64,72,25,62,62,26,31,43,95,45,76,70,38,75,96,84,46,35,86,26,77,0,47,68,32,46,36,48,74,93,37,40,39,67,32,91,75,35,16,25,61,41,22,11,20,71,35,80,41,24,33,44,2376,TRUE,0,0,0,0,0,0,0,0,0,0,42,2,0,0,93,0
115,Ralph,Elam,LSU,FS,23,72,209,74,Star,Draft,CloseToHome,BigMarket,ChampionshipContender,84,82,83,92,36,33,37,66,59,69,26,75,57,35,42,42,85,64,84,72,29,52,95,49,33,36,82,41,64,0,43,70,40,48,47,43,77,89,40,36,37,72,52,81,63,10,13,23,77,40,29,13,12,68,63,81,41,25,31,44,856,TRUE,0,0,0,0,0,0,0,0,0,0,43,19,0,0,94,0
138,Stephen,Bonds,Louisville,LE,22,75,280,72,Normal,Draft,TeamPrestige,CloseToHome,WarmWeatherState,77,76,73,85,43,47,33,69,43,73,33,25,59,30,33,41,69,78,77,75,61,38,98,46,47,43,76,37,47,0,42,26,73,32,48,42,81,84,39,28,30,85,37,88,43,17,30,23,79,27,10,28,19,40,32,86,36,33,27,35,971,TRUE,0,0,0,0,0,0,0,0,0,0,44,70,0,0,90,0
255,Zeke,Nance,LSU,SS,22,73,220,69,Normal,Draft,TeamPrestige,HighestOffer,MentoratPosition,85,84,82,85,29,47,27,68,62,64,46,69,62,41,37,41,85,67,85,73,29,53,91,49,47,29,84,31,63,0,34,64,30,24,38,50,76,84,39,44,45,75,40,81,62,17,22,10,71,28,16,36,27,71,46,85,38,38,31,37,1810,TRUE,0,0,0,0,0,0,0,0,0,0,45,100,0,0,85,0
59,Alex,Farrell,Tennessee,WR,21,74,227,75,Star,Draft,SchemeFit,HighestOffer,WarmWeatherState,36,93,89,89,24,31,26,30,72,69,86,77,78,74,73,55,85,62,36,74,31,80,95,73,31,24,93,71,28,0,39,41,28,24,25,79,34,92,87,80,48,75,69,86,79,25,13,33,33,45,15,29,19,44,64,78,28,28,31,34,466,TRUE,0,0,0,0,0,0,0,0,0,0,46,8,0,0,83,0
180,Alex,Bush,Penn State,RT,22,78,306,72,Star,Draft,TeamHasFranchiseQB,HighestOffer,NoIncomeTax,32,70,71,71,36,39,33,30,42,78,30,48,50,39,35,53,55,77,32,78,34,45,91,44,39,36,70,36,30,0,72,29,33,68,65,41,43,63,24,38,64,84,31,86,29,11,18,23,35,25,23,15,12,42,35,82,30,78,81,76,1268,TRUE,0,0,0,0,0,0,0,0,0,0,47,74,0,0,84,0
155,Tyler,Mayer,South Carolina,ROLB,22,73,250,72,Star,Draft,MentoratPosition,CloseToHome,ChampionshipContender,80,84,77,87,24,28,37,73,44,74,30,53,56,37,38,49,72,72,80,73,58,44,81,47,28,24,84,36,53,0,25,36,59,35,28,39,77,86,31,46,45,76,26,87,42,10,11,35,82,33,19,19,20,58,26,82,35,37,33,42,1108,TRUE,0,0,0,0,0,0,0,0,0,0,48,75,0,0,92,0
181,Austin,Smith,Penn State,MLB,22,73,249,72,Star,Draft,CloseToHome,HighestOffer,TeamPrestige,86,75,84,87,45,37,43,73,28,71,38,57,59,30,47,45,70,83,86,73,65,46,91,27,37,45,75,24,50,0,31,37,61,38,24,40,83,85,31,34,36,77,44,90,46,10,10,25,83,38,31,31,21,59,35,84,47,42,43,33,1274,TRUE,0,0,0,0,0,0,0,0,0,0,49,76,0,0,90,0
38,Damarr,Meeks,Oklahoma State,LG,21,77,336,72,Star,Draft,CloseToHome,ChampionshipContender,MentoratPosition,37,67,65,82,38,38,38,31,27,68,46,47,50,31,28,59,58,87,37,77,37,42,82,40,38,38,67,34,33,0,78,35,39,79,66,44,46,70,42,32,72,88,39,81,36,10,35,31,27,45,12,10,21,40,43,81,42,65,74,72,303,TRUE,0,0,0,0,0,0,0,0,0,0,50,78,0,0,89,0
403,Jelani,Mitchell,South Carolina,SS,23,71,209,72,Star,Draft,NoIncomeTax,MentoratPosition,CloseToHome,90,79,86,86,42,33,47,63,64,67,34,75,66,47,28,50,88,62,90,71,45,57,97,64,33,42,79,37,64,0,36,69,44,29,29,49,79,85,44,29,47,72,53,86,66,26,31,14,76,44,29,13,16,68,49,84,33,36,27,45,2988,TRUE,0,0,0,0,0,0,0,0,0,0,51,77,0,0,85,0
417,Jason,Patterson,Florida,LG,21,77,302,74,Star,Draft,MentoratPosition,TeamHasFranchiseQB,TeamPrestige,34,71,67,80,35,40,24,38,44,76,34,42,52,27,38,51,54,74,34,77,34,35,79,32,40,35,71,33,27,0,65,42,30,64,65,43,36,64,25,41,71,86,24,82,34,25,18,21,48,35,32,20,12,47,38,78,33,79,81,82,3093,TRUE,0,0,0,0,0,0,0,0,0,0,52,16,0,0,90,0
386,Jose,Gaddis,Michigan State,FS,21,70,218,74,Normal,Draft,NoIncomeTax,ChampionshipContender,TeamHasFranchiseQB,77,82,89,88,45,40,26,58,76,71,28,67,64,30,43,54,85,67,77,70,26,66,83,62,40,45,82,33,76,0,47,78,38,29,48,42,76,88,33,43,42,73,55,85,74,33,11,20,68,34,17,15,14,76,37,86,24,31,48,29,2853,TRUE,0,0,0,0,0,0,0,0,0,0,53,17,0,0,89,0
360,Will,Miller,Virginia,RT,22,78,309,74,Star,Draft,WarmWeatherState,HighestOffer,NoIncomeTax,29,75,73,86,32,41,26,37,29,77,44,42,57,29,33,42,54,85,29,78,39,30,84,33,41,32,75,47,45,0,83,36,28,67,79,41,47,74,39,33,75,90,32,84,47,31,19,31,24,24,30,11,20,30,47,82,42,76,69,70,2614,TRUE,0,0,0,0,0,0,0,0,0,0,54,18,0,0,87,0
147,Jaylin,Bell,Florida,SS,23,75,216,72,Star,Draft,MentoratPosition,BigMarket,TeamHasFranchiseQB,87,86,84,90,46,33,38,63,59,63,45,69,60,34,46,52,82,62,87,75,25,58,84,48,33,46,86,39,67,0,32,61,48,36,28,40,76,88,46,47,31,64,47,95,61,25,33,24,75,38,38,20,33,74,49,86,47,44,47,40,1051,TRUE,0,0,0,0,0,0,0,0,0,0,55,73,0,0,80,0
