,FirstName,LastName,Position,Age,OverallRating,TraitDevelopment,ContractStatus,Motivation3,Motivation2,Motivation1,OriginalHitPowerRating,OriginalJumpingRating,AgilityRating,AccelerationRating,OriginalKickAccuracyRating,OriginalKickPowerRating,BreakSackRating,BlockSheddingRating,BCVisionRating,AwarenessRating,CatchInTrafficRating,CatchingRating,CarryingRating,BreakTackleRating,DeepRouteRunningRating,ConfidenceRating,ChangeOfDirectionRating,ImpactBlockingRating,HitPowerRating,Height,FinesseMovesRating,JukeMoveRating,InjuryRating,KickReturnRating,KickPowerRating,KickAccuracyRating,JumpingRating,MediumRouteRunningRating,ManCoverageRating,LongSnapRating,LeadBlockRating,PressRating,PowerMovesRating,RunBlockPowerRating,RunBlockFinesseRating,ReleaseRating,PursuitRating,SpeedRating,SpectacularCatchRating,ShortRouteRunningRating,RunBlockRating,StrengthRating,StiffArmRating,StaminaRating,SpinMoveRating,ThrowAccuracyRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,TackleRating,ThrowUnderPressureRating,ThrowPowerRating,ThrowOnTheRunRating,ThrowAccuracyShortRating,ZoneCoverageRating,TruckingRating,ToughnessRating,PlayActionRating,PassBlockFinesseRating,PassBlockPowerRating,PassBlockRating,Player,IsVisible,ProDayThreeConeDrill,ProDayTwentyYardShuttle,ProDayVerticalJump,CombineTwentyYardShuttle,CombineVerticalJump,ProDayFortyYardDash,CombineFortyYardDash,CombineOverallGrade,CombineThreeConeDrill,ProDayBroadJump,InitialDraftRank,TrueOverallRanking,CombineBenchPress,ProDayBenchPress,ProductionGrade,CombineBroadJump
210,Richard,James,CB,22,75,Normal,Draft,CloseToHome,HeadCoachHistoricRecord,NoIncomeTax,70,86,91,90,41,25,40,48,59,74,37,68,63,44,34,44,93,61,70,75,27,72,78,80,25,41,86,42,72,0,30,75,42,34,30,38,72,93,30,46,43,61,48,88,73,32,29,16,60,40,17,23,21,77,24,78,38,46,44,33,2251,True,0,0,0,0,0,0,0,0,0,0,11,7,0,0,86,0
110,Eric,Groves,LE,22,74,Normal,Draft,HeadCoachHistoricRecord,ChampionshipContender,TeamHasFranchiseQB,82,79,76,83,34,25,28,67,41,73,30,38,56,34,36,50,66,73,82,78,64,24,83,37,25,34,79,30,29,0,24,46,78,47,35,50,78,81,41,38,32,84,26,92,46,25,25,27,81,36,32,30,14,42,25,81,33,38,46,47,1177,True,0,0,0,0,0,0,0,0,0,0,12,27,0,0,94,0
317,Bret,Webb,RT,22,74,Star,Draft,SchemeFit,HeadCoachHistoricRecord,TeamPrestige,29,80,70,84,41,24,38,30,44,77,34,24,55,27,29,58,57,88,29,78,43,29,85,24,24,41,80,45,45,0,78,25,36,69,82,42,33,70,30,40,76,88,39,91,40,32,28,17,38,29,25,36,23,24,40,84,25,77,69,68,3173,True,0,0,0,0,0,0,0,0,0,0,13,26,0,0,85,0
45,Tony,Clark,LT,22,72,Star,Draft,TeamPrestige,TeamHasFranchiseQB,HeadCoachHistoricRecord,25,66,71,74,27,28,42,34,39,78,42,25,56,38,38,45,55,83,25,77,40,26,82,37,28,27,66,45,25,0,76,24,25,74,65,39,48,64,31,28,73,90,29,84,29,36,33,15,29,48,14,26,12,28,35,82,35,71,77,76,433,True,0,0,0,0,0,0,0,0,0,0,14,62,0,0,81,0
328,Louis,Ramsay,RT,21,72,Star,Draft,NoIncomeTax,WarmWeatherState,BigMarket,45,74,69,77,32,32,37,33,29,76,29,32,59,25,43,52,60,76,45,77,24,40,90,31,32,32,74,38,40,0,71,36,33,67,67,49,38,65,38,33,68,79,45,93,46,19,35,20,38,32,15,12,25,24,33,83,28,80,80,76,3184,True,0,0,0,0,0,0,0,0,0,0,15,61,0,0,90,0
416,James,Campbell,WR,23,73,Star,Draft,HighestOffer,BigMarket,TeamHasFranchiseQB,41,89,89,89,45,36,30,30,80,74,82,77,75,77,70,40,92,56,41,75,27,82,95,70,36,45,89,70,43,0,47,27,41,37,32,74,31,93,96,72,48,68,69,81,81,26,12,20,37,38,29,26,11,46,57,78,45,38,43,25,3272,True,0,0,0,0,0,0,0,0,0,0,16,45,0,0,93,0
380,Mitch,Wilson,TE,21,75,Normal,Draft,MentoratPosition,TeamPrestige,TeamHasFranchiseQB,44,81,86,89,31,24,36,33,73,73,74,85,75,68,67,44,84,61,44,74,39,74,80,43,24,31,81,66,41,0,54,30,25,62,62,64,44,87,76,71,63,67,63,84,67,33,28,28,27,42,12,30,28,36,63,80,42,59,64,60,3236,True,0,0,0,0,0,0,0,0,0,0,17,12,0,0,92,0
204,Dale,Slater,ROLB,22,73,Superstar,Draft,TeamHasFranchiseQB,MentoratPosition,HighestOffer,71,86,81,88,46,33,34,74,38,76,30,45,59,38,44,51,68,76,71,77,76,31,80,42,33,46,86,43,47,0,42,40,67,24,44,39,79,82,36,32,35,78,24,97,42,11,15,13,78,44,26,27,28,40,47,79,25,32,26,28,2187,True,0,0,0,0,0,0,0,0,0,0,18,50,0,0,92,0
242,Treyvon,Spruce,DT,22,72,Star,Draft,MentoratPosition,NoIncomeTax,TeamPrestige,76,77,75,84,44,39,48,70,37,66,33,40,50,39,26,58,67,76,76,73,68,30,82,34,39,44,77,26,45,0,45,33,81,48,44,38,81,74,37,35,24,86,41,80,29,16,28,14,78,24,26,36,33,40,39,85,31,45,42,43,2629,True,0,0,0,0,0,0,0,0,0,0,19,66,0,0,93,0
446,Ryland,McPherson,WR,22,73,Normal,Draft,TeamHasFranchiseQB,BigMarket,NoIncomeTax,28,86,96,96,34,33,26,36,72,64,78,74,77,67,76,51,95,44,28,70,32,82,96,90,33,34,86,70,32,0,39,30,42,33,28,74,48,97,83,70,51,58,58,88,79,32,37,23,39,41,18,29,35,31,53,86,25,35,44,33,3302,True,0,0,0,0,0,0,0,0,0,0,20,49,0,0,84,0
420,Aries,Brown,WR,22,75,Normal,Draft,BigMarket,ChampionshipContender,MentoratPosition,35,96,88,91,42,43,30,31,73,73,82,80,72,74,74,47,92,58,35,77,42,77,88,73,43,42,96,75,32,0,38,45,37,32,35,81,27,93,87,72,50,75,70,90,76,36,28,31,24,26,21,19,26,42,61,85,46,27,47,33,3276,True,0,0,0,0,0,0,0,0,0,0,21,11,0,0,85,0
125,Luke,Hedgecock,MLB,22,73,Star,Draft,ChampionshipContender,TeamPrestige,CloseToHome,83,75,81,84,38,29,27,73,28,74,41,58,56,30,28,54,75,81,83,75,62,31,87,28,29,38,75,31,57,0,38,29,56,37,28,48,82,86,31,30,47,76,47,85,27,28,30,32,83,31,19,22,13,60,35,82,24,36,38,40,1362,True,0,0,0,0,0,0,0,0,0,0,22,52,0,0,87,0
119,Brian,Hoffmann,LE,21,73,Star,Draft,TeamPrestige,BigMarket,HeadCoachHistoricRecord,79,79,78,87,27,28,38,71,26,67,31,29,54,40,27,58,63,75,79,77,61,39,82,24,28,27,79,31,40,0,33,40,77,37,33,41,81,84,42,40,43,84,36,88,35,31,12,29,78,25,23,31,29,45,40,82,25,39,30,31,1263,True,0,0,0,0,0,0,0,0,0,0,23,53,0,0,91,0
410,Nicholas,Shorts,WR,22,66,Normal,Draft,TeamPrestige,HeadCoachHistoricRecord,ChampionshipContender,38,89,84,91,48,30,24,44,78,62,67,73,77,61,71,52,81,34,38,70,46,75,81,88,30,48,89,72,45,0,37,38,44,31,45,64,37,99,75,65,43,48,53,92,69,35,32,17,32,35,33,22,23,48,51,79,42,46,28,53,3266,True,0,0,0,0,0,0,0,0,0,0,24,196,0,0,92,0
314,Tim,Whitfield,LT,21,72,Star,Draft,SchemeFit,WarmWeatherState,ChampionshipContender,37,70,68,76,34,47,35,37,31,76,27,41,55,42,36,45,55,81,37,79,26,30,90,30,47,34,70,47,32,0,69,41,41,69,68,38,25,71,35,29,70,82,40,94,38,25,21,30,36,47,37,26,33,35,32,78,45,78,79,79,3170,True,0,0,0,0,0,0,0,0,0,0,25,64,0,0,90,0
435,Quentin,Lawton,WR,21,75,Superstar,Draft,MentoratPosition,SchemeFit,ChampionshipContender,36,96,90,89,44,24,41,34,80,65,83,82,74,82,69,55,89,62,36,77,33,79,94,72,24,44,96,68,24,0,39,41,34,38,43,80,48,92,85,80,49,75,77,85,76,34,12,33,35,27,20,28,23,24,65,80,39,24,38,35,3291,True,0,0,0,0,0,0,0,0,0,0,26,13,0,0,84,0
79,Jaylen,Mebane,HB,22,76,Normal,Draft,TeamPrestige,HeadCoachHistoricRecord,CloseToHome,27,77,89,95,27,42,32,38,79,69,55,72,84,73,42,47,92,40,27,71,47,82,90,81,42,27,77,56,29,0,41,34,27,25,42,54,29,94,60,60,30,72,71,90,80,29,11,32,26,32,29,36,14,30,75,84,24,31,37,61,847,True,0,0,0,0,0,0,0,0,0,0,27,4,0,0,90,0
186,Kirk,Beckum,CB,22,75,Normal,Draft,HeadCoachHistoricRecord,NoIncomeTax,CloseToHome,66,90,92,92,35,27,35,58,57,75,44,66,62,30,24,42,89,57,66,70,36,76,81,74,27,35,90,26,72,0,43,71,40,35,40,39,70,91,29,36,25,74,44,82,75,12,22,19,64,37,20,22,26,77,45,80,43,35,46,25,1952,True,0,0,0,0,0,0,0,0,0,0,28,15,0,0,94,0
353,Kendrick,Brinkley,FS,22,73,Star,Draft,TeamPrestige,ChampionshipContender,TeamHasFranchiseQB,90,82,83,90,31,41,46,67,56,69,48,74,66,46,28,47,86,62,90,73,24,54,88,60,41,31,82,46,64,0,39,67,34,26,32,39,81,84,34,24,37,69,68,89,61,22,19,13,71,33,29,32,21,70,64,82,37,26,46,39,3209,True,0,0,0,0,0,0,0,0,0,0,29,48,0,0,81,0
250,Pat,Powell,RG,21,73,Star,Draft,WarmWeatherState,CloseToHome,ChampionshipContender,36,64,64,81,31,32,38,38,27,74,34,44,56,24,34,43,53,87,36,76,30,29,94,29,32,31,64,29,42,0,82,41,27,79,65,50,31,65,35,34,73,91,24,91,27,22,12,31,42,25,13,27,16,25,35,86,36,68,72,73,2714,True,0,0,0,0,0,0,0,0,0,0,30,47,0,0,85,0
228,C.J.,Widmer,HB,22,75,Normal,Draft,TeamPrestige,MentoratPosition,WarmWeatherState,44,79,85,90,43,29,40,35,82,73,54,67,88,76,46,42,93,48,44,70,32,80,98,83,29,43,79,54,46,0,26,42,42,45,27,64,27,94,55,57,32,72,76,90,75,36,11,12,47,29,18,29,25,41,77,85,34,27,28,63,2465,True,0,0,0,0,0,0,0,0,0,0,31,14,0,0,88,0
366,Kendrick,Barker,SS,22,77,Star,Draft,HeadCoachHistoricRecord,MentoratPosition,HighestOffer,79,82,87,92,47,27,45,61,68,73,39,75,64,40,44,40,89,57,79,73,41,60,86,75,27,47,82,24,76,0,27,73,24,45,29,39,78,91,41,31,43,72,68,82,72,24,26,28,69,44,32,32,12,74,35,86,46,44,30,43,3222,True,0,0,0,0,0,0,0,0,0,0,32,1,0,0,93,0
111,Michael,Howard,RE,22,73,Normal,Draft,CloseToHome,TeamHasFranchiseQB,NoIncomeTax,84,74,79,81,48,24,30,69,25,73,47,25,56,46,41,55,64,73,84,76,65,27,90,48,24,48,74,47,40,0,32,38,75,37,45,43,77,83,46,27,45,86,26,89,38,17,24,17,81,43,37,34,21,40,24,81,47,43,27,25,1201,True,0,0,0,0,0,0,0,0,0,0,33,46,0,0,92,0
310,Noah,Burnham,LT,22,71,Star,Draft,SchemeFit,ChampionshipContender,HeadCoachHistoricRecord,43,72,74,72,32,42,37,33,38,76,27,33,52,29,41,44,58,72,43,77,25,28,95,25,42,32,72,44,48,0,73,33,35,65,67,44,33,72,39,39,66,81,31,85,31,36,36,35,28,46,18,10,15,28,47,82,40,78,78,81,3166,True,0,0,0,0,0,0,0,0,0,0,34,67,0,0,89,0
266,Ken,Dillinger,LG,21,74,Normal,Draft,TeamPrestige,HighestOffer,TeamHasFranchiseQB,43,68,66,75,33,37,34,35,34,78,32,40,54,25,35,55,60,76,43,74,39,47,80,25,37,33,68,46,43,0,62,33,38,67,65,41,25,67,45,48,72,85,28,95,36,21,14,10,27,32,19,17,27,43,44,83,38,79,80,78,2868,True,0,0,0,0,0,0,0,0,0,0,35,21,0,0,85,0
11,Jeffrey,Jones,HB,21,75,Star,Draft,ChampionshipContender,BigMarket,TeamHasFranchiseQB,46,80,89,92,38,46,39,42,71,74,70,73,74,75,59,42,89,42,46,72,25,99,97,77,46,38,80,62,26,0,42,39,26,48,34,70,30,92,69,74,32,70,77,90,81,31,17,18,47,26,32,16,24,36,77,79,40,31,30,61,106,True,0,0,0,0,0,0,0,0,0,0,36,10,0,0,92,0
24,Mitch,Poole,LOLB,22,75,Normal,Draft,BigMarket,HeadCoachHistoricRecord,CloseToHome,83,82,78,91,39,45,47,77,34,68,41,50,57,32,41,42,77,77,83,74,56,46,87,38,45,39,82,44,55,0,35,24,62,25,35,50,77,87,27,27,27,76,27,80,39,19,34,30,87,25,35,12,10,63,32,84,45,37,42,29,252,True,0,0,0,0,0,0,0,0,0,0,37,9,0,0,87,0
254,Deion,Culliver,CB,21,74,Normal,Draft,MentoratPosition,ChampionshipContender,BigMarket,70,83,89,95,28,41,35,57,62,76,40,64,59,43,40,56,88,47,70,74,48,79,86,74,41,28,83,47,65,0,47,64,26,35,47,49,71,93,37,35,32,67,32,83,80,13,21,22,58,25,32,32,35,76,44,81,26,40,31,46,2778,True,0,0,0,0,0,0,0,0,0,0,38,22,0,0,92,0
243,Kamryn,Jennings,LE,22,72,Star,Draft,HeadCoachHistoricRecord,WarmWeatherState,HighestOffer,86,66,74,84,40,41,44,74,31,69,44,24,54,47,24,59,66,83,86,75,60,32,94,46,41,40,66,38,28,0,42,36,66,29,35,40,76,77,44,43,29,93,33,76,26,35,11,15,81,45,18,19,33,40,47,86,41,37,41,34,2637,True,0,0,0,0,0,0,0,0,0,0,39,63,0,0,81,0
368,B.J.,Pryor,SS,22,71,Star,Draft,HeadCoachHistoricRecord,CloseToHome,BigMarket,89,81,88,86,42,30,37,64,64,63,33,74,65,32,42,49,83,61,89,75,30,58,89,59,30,42,81,48,63,0,38,66,34,40,26,42,79,86,28,24,28,69,37,89,65,30,31,31,71,38,33,20,21,70,45,85,47,30,39,45,3224,True,0,0,0,0,0,0,0,0,0,0,40,72,0,0,85,0
201,Demetrius,Spruce,HB,22,74,Normal,Draft,HighestOffer,BigMarket,HeadCoachHistoricRecord,27,79,91,92,29,46,37,43,79,68,54,72,83,75,42,48,90,27,27,68,35,82,92,87,46,29,79,56,32,0,41,45,30,40,32,62,25,90,54,55,44,64,71,78,79,10,27,18,27,43,28,19,37,48,80,78,32,29,48,58,2155,True,0,0,0,0,0,0,0,0,0,0,41,20,0,0,84,0
56,DaWann,Sasser,RE,21,73,Superstar,Draft,HeadCoachHistoricRecord,HighestOffer,WarmWeatherState,84,76,76,81,46,45,36,69,30,66,41,46,57,45,40,59,66,83,84,75,58,41,81,44,45,46,76,46,47,0,39,43,77,38,35,38,78,84,39,46,25,88,37,91,42,19,21,14,80,33,36,26,19,44,27,79,46,30,24,41,587,True,0,0,0,0,0,0,0,0,0,0,42,38,0,0,91,0
362,Kris,McGee,FS,22,73,Star,Draft,SchemeFit,MentoratPosition,ChampionshipContender,90,84,84,92,28,46,34,67,58,70,36,66,67,25,28,46,86,66,90,74,42,60,96,47,46,28,84,45,67,0,30,63,48,43,39,42,80,86,27,41,35,69,37,78,60,12,24,17,75,31,38,12,19,68,60,82,39,42,32,45,3218,True,0,0,0,0,0,0,0,0,0,0,43,40,0,0,85,0
378,Greg,Porter,SS,22,76,Normal,Draft,CloseToHome,HighestOffer,NoIncomeTax,79,87,88,88,27,38,48,48,60,74,38,74,68,32,48,52,87,60,79,73,42,63,79,64,38,27,87,26,59,0,48,71,34,25,25,46,78,91,48,39,30,66,41,86,70,12,37,22,70,36,30,25,18,79,35,85,45,30,42,43,3234,True,0,0,0,0,0,0,0,0,0,0,44,3,0,0,80,0
347,Terrance,Nails,FS,22,75,Star,Draft,HighestOffer,NoIncomeTax,SchemeFit,79,85,92,86,48,26,29,56,75,74,48,67,67,25,47,53,87,63,79,74,32,70,86,69,26,48,85,40,77,0,35,72,39,41,31,38,75,89,30,46,43,68,37,98,75,21,30,13,66,39,32,29,34,74,41,85,38,26,31,41,3203,True,0,0,0,0,0,0,0,0,0,0,45,8,0,0,87,0
249,Malachi,Street,HB,23,73,Star,Draft,HeadCoachHistoricRecord,MentoratPosition,WarmWeatherState,31,83,89,92,44,39,38,45,74,75,70,75,74,77,55,47,89,30,31,68,24,83,97,81,39,44,83,59,31,0,27,46,27,39,42,71,46,91,74,74,40,64,67,97,75,22,26,32,38,45,17,16,30,42,71,82,44,43,44,59,2703,True,0,0,0,0,0,0,0,0,0,0,46,39,0,0,93,0
369,Tay,Sanford,SS,21,71,Star,Draft,SchemeFit,MentoratPosition,WarmWeatherState,87,83,86,86,29,42,25,68,62,63,25,63,67,26,35,43,84,67,87,75,48,53,92,51,42,29,83,36,67,0,40,65,43,46,42,41,78,91,39,37,44,67,57,85,57,25,22,12,73,38,30,33,13,68,55,80,44,41,34,24,3225,True,0,0,0,0,0,0,0,0,0,0,47,73,0,0,89,0
304,Jonathan,Harvin,LT,23,73,Star,Draft,CloseToHome,TeamPrestige,WarmWeatherState,36,75,73,86,28,36,41,44,32,77,46,40,58,35,36,42,60,80,36,78,48,32,98,36,36,28,75,35,37,0,77,27,32,66,80,40,31,74,48,28,73,85,36,85,34,31,15,18,43,27,37,12,27,25,48,81,43,77,68,72,3160,True,0,0,0,0,0,0,0,0,0,0,48,37,0,0,81,0
85,Vince,Florence,HB,23,71,Normal,Draft,MentoratPosition,NoIncomeTax,HighestOffer,33,82,86,91,45,44,25,36,74,70,67,76,80,75,57,50,88,28,33,69,42,80,80,85,44,45,82,60,40,0,34,24,46,37,37,76,38,91,69,74,31,69,71,87,77,22,33,29,36,43,37,20,13,28,69,79,24,25,45,62,909,True,0,0,0,0,0,0,0,0,0,0,49,75,0,0,85,0
258,Stephen,Stockton,LT,22,74,Superstar,Draft,ChampionshipContender,TeamHasFranchiseQB,SchemeFit,26,74,71,73,33,26,33,30,38,78,47,30,58,31,47,47,59,81,26,76,48,40,94,33,26,33,74,47,30,0,76,27,40,66,66,50,39,70,40,44,68,85,29,96,48,21,34,29,34,35,17,35,26,48,44,85,40,82,79,80,2809,True,0,0,0,0,0,0,0,0,0,0,50,19,0,0,84,0
257,Roosevelt,Levens,RE,23,73,Star,Draft,TeamHasFranchiseQB,CloseToHome,WarmWeatherState,78,74,72,86,29,37,46,69,25,74,31,38,59,41,33,40,71,84,78,78,58,47,83,41,37,29,74,26,35,0,26,34,74,25,36,41,76,82,43,39,26,87,45,73,36,32,18,31,79,48,19,32,26,48,34,82,29,32,41,31,2806,True,0,0,0,0,0,0,0,0,0,0,51,35,0,0,85,0
187,Joey,McCullers,HB,22,73,Superstar,Draft,ChampionshipContender,SchemeFit,CloseToHome,45,82,87,94,36,47,42,34,78,66,65,68,86,76,49,42,86,48,45,72,37,82,84,83,47,36,82,56,28,0,46,36,38,25,36,49,47,92,58,59,42,65,73,80,79,32,19,23,45,46,34,17,32,40,76,86,36,28,41,62,1955,True,0,0,0,0,0,0,0,0,0,0,52,34,0,0,94,0
198,Glenn,Hutson,LE,22,75,Star,Draft,TeamPrestige,HighestOffer,BigMarket,83,79,79,86,28,27,32,72,33,71,29,39,51,34,36,40,68,79,83,75,61,33,85,38,27,28,79,45,32,0,29,27,76,24,40,50,81,81,28,38,37,90,38,95,29,15,11,22,79,37,26,36,16,47,47,78,32,25,48,39,2124,True,0,0,0,0,0,0,0,0,0,0,53,5,0,0,91,0
153,Keenan,Ragland,CB,22,74,Normal,Draft,ChampionshipContender,TeamHasFranchiseQB,MentoratPosition,72,90,87,93,43,35,25,58,73,68,33,71,67,30,27,47,88,60,72,70,42,83,80,77,35,43,90,27,74,0,45,72,34,37,28,42,71,93,29,30,43,56,35,97,80,31,12,23,58,30,28,17,20,72,37,79,24,42,30,28,1682,True,0,0,0,0,0,0,0,0,0,0,54,18,0,0,88,0
427,Chris,Edwards,WR,22,73,Star,Draft,ChampionshipContender,HighestOffer,WarmWeatherState,30,94,92,91,45,37,31,37,71,68,82,77,79,80,68,56,87,62,30,77,40,79,82,72,37,45,94,76,41,0,38,26,32,46,32,80,38,90,84,75,59,72,72,80,80,32,32,28,27,45,27,20,20,43,64,82,36,33,24,55,3283,True,0,0,0,0,0,0,0,0,0,0,55,28,0,0,87,0
218,Joe,Brooks,LE,21,71,Star,Draft,BigMarket,HeadCoachHistoricRecord,NoIncomeTax,78,68,70,81,45,31,41,80,27,66,38,38,54,27,41,41,67,80,78,75,60,28,81,46,31,45,68,36,39,0,37,44,67,35,26,50,77,70,27,44,43,92,24,89,37,24,30,28,82,25,26,12,12,36,43,84,37,33,28,38,2327,True,0,0,0,0,0,0,0,0,0,0,56,77,0,0,81,0
440,Anton,Diggs,WR,22,72,Normal,Draft,CloseToHome,TeamPrestige,TeamHasFranchiseQB,37,86,91,92,27,42,35,34,72,70,81,79,79,72,62,46,96,46,37,73,39,82,91,88,42,27,86,75,28,0,35,36,24,25,28,64,31,90,76,74,44,63,60,97,78,21,14,29,38,48,34,25,14,24,56,82,39,48,28,28,3296,True,0,0,0,0,0,0,0,0,0,0,57,65,0,0,87,0
370,Walter,Tatum,SS,22,67,Normal,Draft,NoIncomeTax,MentoratPosition,TeamHasFranchiseQB,77,79,82,91,26,44,39,62,55,59,28,59,44,38,38,46,83,64,77,74,41,51,81,64,44,26,79,29,59,0,38,62,29,30,32,50,77,87,34,28,47,66,43,82,48,34,14,32,73,40,13,31,25,64,54,80,38,36,35,41,3226,True,0,0,0,0,0,0,0,0,0,0,58,143,0,0,28,0
